Name,2016,2017,2018,2019,2020,2021,Latitude ,Longitude 
Canada,169884504,137249292,141128903,153459635,155794218,190553919,58.33747,-112.384858
Japan,13890762,14483479,15120527,12143217,7716172,6777882,36.13793,138.441899
France,4834652,4811246,3906919,2608400,1413960,797686,46.698481,2.549047
Netherlands,3008016,2730479,2998335,2445787,2320529,2239456,52.554205,5.501896
Mexico,34860281,14703982,21701069,13834652,10207201,12636180,23.920061,-102.289691
Nigeria,426883,14846125,11021226,24463100,20565181,16406945,9.404974,7.607418
