"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2020,"af","Africa","afago","Angola",11468023
2020,"af","Africa","afbdi","Burundi",671213
2020,"af","Africa","afben","Benin",937109
2020,"af","Africa","afbfa","Burkina Faso",14410223
2020,"af","Africa","afbwa","Botswana",290509
2020,"af","Africa","afcaf","Central African Republic",339205
2020,"af","Africa","afciv","Cote d'Ivoire",1894565
2020,"af","Africa","afcmr","Cameroon",771828
2020,"af","Africa","afcod","Democratic Republic of the Congo",9420432.000000002
2020,"af","Africa","afcog","Republic of the Congo",670382
2020,"af","Africa","afcpv","Cape Verde",316352
2020,"af","Africa","afdji","Djibouti",1231019
2020,"af","Africa","afdza","Algeria",805805
2020,"af","Africa","afegy","Egypt",72750266
2020,"af","Africa","aferi","Eritrea",153984
2020,"af","Africa","afeth","Ethiopia",4912202
2020,"af","Africa","afgab","Gabon",532644
2020,"af","Africa","afgha","Ghana",11736224
2020,"af","Africa","afgin","Guinea",3379858
2020,"af","Africa","afgmb","Gambia",823259
2020,"af","Africa","afgnq","Equatorial Guinea",1462727
2020,"af","Africa","afken","Kenya",11646346
2020,"af","Africa","aflbr","Liberia",8534822
2020,"af","Africa","aflby","Libya",1144889
2020,"af","Africa","aflso","Lesotho",642664
2020,"af","Africa","afmar","Morocco",39348878
2020,"af","Africa","afmdg","Madagascar",1816145
2020,"af","Africa","afmli","Mali",853246
2020,"af","Africa","afmoz","Mozambique",2105407
2020,"af","Africa","afmrt","Mauritania",4179086
2020,"af","Africa","afmus","Mauritius",669602
2020,"af","Africa","afmwi","Malawi",2606619
2020,"af","Africa","afnam","Namibia",377593
2020,"af","Africa","afner","Niger",2354198
2020,"af","Africa","afnga","Nigeria",50881719
2020,"af","Africa","afrwa","Rwanda",863890
2020,"af","Africa","afsdn","Sudan",60086
2020,"af","Africa","afsen","Senegal",9109314
2020,"af","Africa","afshn","Saint Helena",8341.000000000002
2020,"af","Africa","afsle","Sierra Leone",2011406.9999999998
2020,"af","Africa","afsom","Somalia",996724
2020,"af","Africa","afssd","South Sudan",288684
2020,"af","Africa","afstp","Sao Tome and Principe",19500
2020,"af","Africa","afswz","Eswatini",182246
2020,"af","Africa","afsyc","Seychelles",204273
2020,"af","Africa","aftcd","Chad",261649
2020,"af","Africa","aftgo","Togo",1259865
2020,"af","Africa","aftun","Tunisia",15943608
2020,"af","Africa","aftza","Tanzania",7215477
2020,"af","Africa","afuga","Uganda",2810470
2020,"af","Africa","afzaf","South Africa",35759970
2020,"af","Africa","afzmb","Zambia",1370580
2020,"af","Africa","afzwe","Zimbabwe",747164
2020,"as","Asia","asafg","Afghanistan",3779831
2020,"as","Asia","asare","United Arab Emirates",150819402
2020,"as","Asia","asarm","Armenia",3205242
2020,"as","Asia","asaze","Azerbaijan",2643200
2020,"as","Asia","asbgd","Bangladesh",338429910
2020,"as","Asia","asbhr","Bahrain",12049352
2020,"as","Asia","asbrn","Brunei",1945795
2020,"as","Asia","asbtn","Bhutan",2535
2020,"as","Asia","aschn","China",2427644485
2020,"as","Asia","ascxr","Christmas Island",462740
2020,"as","Asia","ascyp","Cyprus",889109
2020,"as","Asia","asgeo","Georgia",3968519
2020,"as","Asia","ashkg","Hong Kong",184532712
2020,"as","Asia","asidn","Indonesia",369121433
2020,"as","Asia","asind","India",299762538
2020,"as","Asia","asiot","British Indian Ocean Territory",707231
2020,"as","Asia","asirq","Iraq",3706126
2020,"as","Asia","asisr","Israel",108259517
2020,"as","Asia","asjor","Jordan",9089062
2020,"as","Asia","asjpn","Japan",393753396
2020,"as","Asia","askaz","Kazakhstan",2475156
2020,"as","Asia","askgz","Kyrgyzstan",66524
2020,"as","Asia","askhm","Cambodia",17307556
2020,"as","Asia","askor","South Korea",354385511
2020,"as","Asia","askwt","Kuwait",23649350
2020,"as","Asia","aslao","Laos",1431244
2020,"as","Asia","aslbn","Lebanon",5170138
2020,"as","Asia","aslka","Sri Lanka",48223815
2020,"as","Asia","asmac","Macau",7564289
2020,"as","Asia","asmdv","Maldives",392676
